,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Beras,6512,7373,8056,8409,8936,10149,10685,10665,11292,11247,11736,11694
Tepung Terigu,7555,7592,7646,8046,8742,8918,9004,8919,9260,0,0,0
Jagung Pipilan,4206,4880,5260,5736,6204,6465,7122,7139,7264,0,0,0
Kedelai lokal,8483,8813,9216,10055,10634,10934,11079,10707,10415,0,0,0
Kedelai Impor,8096,8326,8797,9818,11152,11086,10793,10669,10683,0,0,0
Kacang Tanah,14263,16367,16880,18848,18588,21526,25580,12163,9470,0,0,0
Kacang Hijau,14825,16620,14000,15386,18951,20558,20881,20674,20263,0,0,0
Ubi Kayu,2625,3132,3837,4576,5162,5267,5692,5491,5731,0,0,0
Bawang Merah,17068,18955,14188,34338,22122,25246,39274,31272,28249,31241,38836,31999
Bawang Putih,0,0,0,20774,16105,21073,35866,34853,26639,33231,32264,29716
Cabe Merah,22736,23052,22526,30267,32509,29717,37294,31632,36343,39979,40220,41341
Cabe Merah Keriting,24404,23866,23248,29697,33494,31067,37454,33171,34629,39375,35613,39450
Cabe Rawit Merah,0,0,0,43619,41360,40944,40976,55475,42741,48428,41938,61939
Minyak Goreng Kemasan,8440,9452,9572,13439,14656,15149,14953,15031,14056,13082,13801,15643
Minyak Goreng Sawit Kuning,9796,10815,11189,8400,9599,11015,11226,11577,11428,0,0,0
Gula Pasir Lokal,10740,10665,12003,12242,11301,12363,14399,13359,12005,12159,14541,13179
Gula Pasir Impor,10301,10552,11864,12422,0,0,0,0,0,0,0,0
Daging Sapi,66329,69733,76910,90402,99398,105345,113555,115932,117058,118200,120719,126500
Daging Ayam Broiler,24166,20872,25323,28137,26350,30100,31334,30743,33477,32251,32297,34249
Daging Ayam Buras,42067,45503,48906,48934,59066,61656,62360,64034,64448,0,0,0
Telur Ayam Buras,34387,35898,36837,36183,40548,41533,42618,44394,46754,0,0,0
Telur Ayam Ras,15384,16844,17604,19013,20125,22160,23293,22734,23993,23602,24819,24951
Susu Kental Manis,8174,8596,8790,8856,9867,10263,10326,10408,10445,0,0,0
Susu Bubuk,26520,26735,28019,30273,37576,40930,41071,41646,42351,0,0,0
